Indicator Parent,Indicator Breakdown,Secondary Breakdown Name,Secondary Breakdown,Location,Value
Experience of Sexual Abuse,1016_a - Previous childhood experience,Age group,25 to 39 years,"Central and Northern Vancouver Island, BC",90
Experience of Sexual Abuse,1016_a - Previous childhood experience,Age group,40 to 54 years,"Central and Northern Vancouver Island, BC",87
Experience of Sexual Abuse,1016_a - Previous childhood experience,Age group,55 years or more,"Central and Northern Vancouver Island, BC",94.7
Experience of Sexual Abuse,1016_a - Previous childhood experience,Age group,Less than 25 years,"Prince Albert, SK",33.3
Experience of Sexual Abuse,1016_a - Previous childhood experience,Age group,25 to 39 years,"Prince Albert, SK",85
Experience of Sexual Abuse,1016_a - Previous childhood experience,Age group,40 to 54 years,"Prince Albert, SK",91
Experience of Sexual Abuse,1016_a - Previous childhood experience,Age group,55 years or more,"Prince Albert, SK",87.5
Experience of Sexual Abuse,1016_a - Previous childhood experience,Age group,Less than 25 years,"Regina, SK",66.7
Experience of Sexual Abuse,1016_a - Previous childhood experience,Age group,25 to 39 years,"Regina, SK",89.7
Experience of Sexual Abuse,1016_a - Previous childhood experience,Age group,40 to 54 years,"Regina, SK",86.2
Experience of Sexual Abuse,1016_a - Previous childhood experience,Age group,55 years or more,"Regina, SK",78.3
Experience of Sexual Abuse,1016_a - Previous childhood experience,Age group,Less than 25 years,"Winnipeg, MN",88.9
Experience of Sexual Abuse,1016_a - Previous childhood experience,Age group,25 to 39 years,"Winnipeg, MN",88.2
Experience of Sexual Abuse,1016_a - Previous childhood experience,Age group,40 to 54 years,"Winnipeg, MN",89.5
Experience of Sexual Abuse,1016_a - Previous childhood experience,Age group,55 years or more,"Winnipeg, MN",95
Experience of Sexual Abuse,1016_a - Previous childhood experience,Age group,Less than 25 years,"Thunder Bay, ON",71.4
Experience of Sexual Abuse,1016_a - Previous childhood experience,Age group,25 to 39 years,"Thunder Bay, ON",76.4
Experience of Sexual Abuse,1016_a - Previous childhood experience,Age group,40 to 54 years,"Thunder Bay, ON",82.5
Experience of Sexual Abuse,1016_a - Previous childhood experience,Age group,55 years or more,"Thunder Bay, ON",80
Experience of Sexual Abuse,1016_a - Previous childhood experience,Age group,Less than 25 years,"Hamilton, ON",100
Experience of Sexual Abuse,1016_a - Previous childhood experience,Age group,25 to 39 years,"Hamilton, ON",86.5
Experience of Sexual Abuse,1016_a - Previous childhood experience,Age group,40 to 54 years,"Hamilton, ON",92.2
Experience of Sexual Abuse,1016_a - Previous childhood experience,Age group,55 years or more,"Hamilton, ON",86.1
Experience of Sexual Abuse,1016_a - Previous childhood experience,Age group,Less than 25 years,New Brunswick,100
Experience of Sexual Abuse,1016_a - Previous childhood experience,Age group,25 to 39 years,New Brunswick,84.4
Experience of Sexual Abuse,1016_a - Previous childhood experience,Age group,40 to 54 years,New Brunswick,90.7
Experience of Sexual Abuse,1016_a - Previous childhood experience,Age group,55 years or more,New Brunswick,50
Experience of Sexual Abuse,1016_a - Previous childhood experience,Age group,Less than 25 years,Newfoundland,65.4
Experience of Sexual Abuse,1016_a - Previous childhood experience,Age group,25 to 39 years,Newfoundland,74.2
Experience of Sexual Abuse,1016_a - Previous childhood experience,Age group,40 to 54 years,Newfoundland,80
Experience of Sexual Abuse,1016_a - Previous childhood experience,Age group,55 years or more,Newfoundland,72.7
Experience of Sexual Abuse,1016_a - Previous childhood experience,Gender lived,CisF,"Whitehorse, YK",96
Experience of Sexual Abuse,1016_a - Previous childhood experience,Gender lived,CisM,"Whitehorse, YK",83.3
Experience of Sexual Abuse,1016_a - Previous childhood experience,Gender lived,CisF,"Central and Northern Vancouver Island, BC",98.3
Experience of Sexual Abuse,1016_a - Previous childhood experience,Gender lived,CisM,"Central and Northern Vancouver Island, BC",85.5
Experience of Sexual Abuse,1016_a - Previous childhood experience,Gender lived,TMAS,"Central and Northern Vancouver Island, BC",100
Experience of Sexual Abuse,1016_a - Previous childhood experience,Gender lived,CisF,"Prince Albert, SK",82.5
Experience of Sexual Abuse,1016_a - Previous childhood experience,Gender lived,CisM,"Prince Albert, SK",90.3
Experience of Sexual Abuse,1016_a - Previous childhood experience,Gender lived,TFEM,"Prince Albert, SK",50
Experience of Sexual Abuse,1016_a - Previous childhood experience,Gender lived,TMAS,"Prince Albert, SK",100
Experience of Sexual Abuse,1016_a - Previous childhood experience,Gender lived,CisF,"Regina, SK",84.6
Experience of Sexual Abuse,1016_a - Previous childhood experience,Gender lived,CisM,"Regina, SK",85.8
Experience of Sexual Abuse,1016_a - Previous childhood experience,Gender lived,TFEM,"Regina, SK",100
Experience of Sexual Abuse,1016_a - Previous childhood experience,Gender lived,TMAS,"Regina, SK",100
Experience of Sexual Abuse,1016_a - Previous childhood experience,Gender lived,CisF,"Winnipeg, MN",95.8
Experience of Sexual Abuse,1016_a - Previous childhood experience,Gender lived,CisM,"Winnipeg, MN",85.3
Experience of Sexual Abuse,1016_a - Previous childhood experience,Gender lived,TFEM,"Winnipeg, MN",66.7
Experience of Sexual Abuse,1016_a - Previous childhood experience,Gender lived,TMAS,"Winnipeg, MN",100
Experience of Sexual Abuse,1016_a - Previous childhood experience,Gender lived,CisF,"Thunder Bay, ON",79
Experience of Sexual Abuse,1016_a - Previous childhood experience,Gender lived,CisM,"Thunder Bay, ON",77.1
Experience of Sexual Abuse,1016_a - Previous childhood experience,Gender lived,CisF,"Hamilton, ON",91.3
Experience of Sexual Abuse,1016_a - Previous childhood experience,Gender lived,CisM,"Hamilton, ON",87.6
Experience of Sexual Abuse,1016_a - Previous childhood experience,Gender lived,TFEM,"Hamilton, ON",100
Experience of Sexual Abuse,1016_a - Previous childhood experience,Gender lived,TMAS,"Hamilton, ON",100
Experience of Sexual Abuse,1016_a - Previous childhood experience,Gender lived,CisF,New Brunswick,95.7
Experience of Sexual Abuse,1016_a - Previous childhood experience,Gender lived,CisM,New Brunswick,77.6
Experience of Sexual Abuse,1016_a - Previous childhood experience,Gender lived,TFEM,New Brunswick,100
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,None,None,Canada,75.9
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,Age group,Less than 25 years,Canada,72.2
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,Age group,25 to 39 years,Canada,80.6
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,Age group,40 to 54 years,Canada,73.7
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,Age group,55 years or more,Canada,65.1
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,Gender lived,CisF,Canada,89.3
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,Gender lived,CisM,Canada,67.2
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,Gender lived,TFEM,Canada,87.5
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,Gender lived,TMAS,Canada,76.9
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,None,None,"Whitehorse, YK",81.6
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,None,None,"Central and Northern Vancouver Island, BC",79.9
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,None,None,"Prince Albert, SK",80.3
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,None,None,"Regina, SK",71.1
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,None,None,"Winnipeg, MN",75.9
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,None,None,"Thunder Bay, ON",76.9
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,None,None,"Hamilton, ON",80.1
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,None,None,New Brunswick,71.9
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,None,None,Newfoundland,69.8
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,Age group,Less than 25 years,"Whitehorse, YK",66.7
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,Age group,25 to 39 years,"Whitehorse, YK",85.7
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,Age group,40 to 54 years,"Whitehorse, YK",80
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,Age group,55 years or more,"Whitehorse, YK",66.7
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,Age group,Less than 25 years,"Central and Northern Vancouver Island, BC",71.4
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,Age group,25 to 39 years,"Central and Northern Vancouver Island, BC",83.1
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,Age group,40 to 54 years,"Central and Northern Vancouver Island, BC",75.6
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,Age group,55 years or more,"Central and Northern Vancouver Island, BC",84.2
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,Age group,25 to 39 years,"Prince Albert, SK",85.9
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,Age group,40 to 54 years,"Prince Albert, SK",77.9
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,Age group,55 years or more,"Prince Albert, SK",62.5
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,Age group,Less than 25 years,"Regina, SK",33.3
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,Age group,25 to 39 years,"Regina, SK",82.3
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,Age group,40 to 54 years,"Regina, SK",70.2
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,Age group,55 years or more,"Regina, SK",50
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,Age group,Less than 25 years,"Winnipeg, MN",77.8
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,Age group,25 to 39 years,"Winnipeg, MN",71.1
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,Age group,40 to 54 years,"Winnipeg, MN",81.8
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,Age group,55 years or more,"Winnipeg, MN",75
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,Age group,Less than 25 years,"Thunder Bay, ON",85.7
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,Age group,25 to 39 years,"Thunder Bay, ON",77.6
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,Age group,40 to 54 years,"Thunder Bay, ON",75
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,Age group,55 years or more,"Thunder Bay, ON",66.7
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,Age group,Less than 25 years,"Hamilton, ON",100
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,Age group,25 to 39 years,"Hamilton, ON",84.9
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,Age group,40 to 54 years,"Hamilton, ON",81
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,Age group,55 years or more,"Hamilton, ON",69.4
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,Age group,Less than 25 years,New Brunswick,70
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,Age group,25 to 39 years,New Brunswick,83.3
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,Age group,40 to 54 years,New Brunswick,64
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,Age group,55 years or more,New Brunswick,44.4
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,Age group,Less than 25 years,Newfoundland,76.9
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,Age group,25 to 39 years,Newfoundland,72.6
Experience of Sexual Abuse,1016_b - Previous sexual partner abuse,Age group,40 to 54 years,Newfoundland,60
